,mat,dHf,dHd,Stability,Band Gap,Mag,Decomps
0,KCrCl3,-36.622879999999995,-34874.2,Stable,0.0,False,Cl1K1 Cl2Cr1
1,KCsMn2Cl6,-18.152262,-16070.927250000026,Stable,1.2258999999999998,False,Cl2Mn1 Cl3K1Mn1 CsCl
2,KCuF3,-33.05836,-30769.760000000002,Stable,0.0,False,Cu1F2 F1K1
3,KRbMg2F6,-19.433343999999998,-14905.869799999682,Stable,6.8972,False,F1K1 RbF MgF2
4,RbCsCd2F6,-15.43683,-11660.617990000004,Stable,3.1799,False,RbF CsF CdF2
5,RbCsSn2I6,-11.197951999999999,-8427.05160999995,Stable,0.9687999999999999,False,RbI CsI SnI2
6,KCoCl3,-30.10589,-28576.329999999994,Stable,0.0,False,Cl2Co1 Cl4Co1K2
7,RbCuI3,-19.6613328,-17927.167300000037,Stable,0.0,False,Cu RbI3
8,KCaF3,-41.22197,-36590.8918,Stable,6.5466,False,F1K1 CaF2
9,KRbMg2Cl6,-14.024766,-10766.33241000001,Stable,4.1819,False,Cl1K1 RbCl MgCl2
10,CsSrBr3,-28.087338,-25425.7698,Stable,4.2379,False,Br2Sr1 CsBr
11,RbCsSr2Br6,-14.044239999999999,-11381.804170000003,Stable,4.3373,False,Br2Sr1 CsBr RbBr
12,KCsNi2Br6,-12.548955,-10960.708825000002,Stable,0.23849999999999993,False,Ni Br1K1 Br2Ni1 CsBr3
13,RbFeBr3,-29.799962,-28160.258539999842,Stable,0.0,False,Br2Fe1 RbBr
14,KCuCl3,-25.14201,-23798.690000000002,Stable,0.0,False,Cl1K1 Cl2Cu1
15,KCsFe2Br6,-14.97797,-13407.123824999977,Stable,0.04520000000000013,False,Fe Br1K1 Br2Fe1 CsBr3
16,CsTiBr3,-32.011668,-30064.875649999965,Stable,0.0,False,Ti CsBr3
17,KCsMg2Cl6,-14.009871,-10755.079649999996,Stable,4.037599999999999,False,Cl1K1 CsCl MgCl2
18,RbCsMg2Cl6,-14.005741,-10525.182659999984,Stable,3.9999999999999996,False,RbCl CsCl MgCl2
19,NaRbCo2Cl6,-14.878189,-13159.422010000006,Stable,0.029900000000000038,False,Cl1Na1 Cl2Co1 RbCl
20,KNiF3,-36.271766,-33688.386,Stable,0.49070000000000014,False,F1K1 F2Ni1
21,RbCsNi2Br6,-12.533427,-10722.779095000004,Stable,0.2631999999999999,False,Ni Br2Ni1 CsBr3 RbBr
22,CsCoI3,-23.971042,-22214.15975,Stable,0.0,False,Co CsI3
23,KRbMn2Cl6,-18.163301999999998,-16078.32501,Stable,1.2694999999999999,False,Cl2Mn1 Cl3K1Mn1 RbCl
24,KCsMn2I6,-14.909516,-13473.124875000001,Stable,0.8677000000000001,False,Mn I1K1 I2Mn1 CsI3
25,KRbCu2Br6,-11.240601999999999,-9985.540269999994,Stable,0.0,False,Br1K1 Br2Cu1 RbBr
26,RbCsCo2Br6,-13.476123000000001,-11700.365095000005,Stable,0.0,False,Co Br2Co1 CsBr3 RbBr
27,KRbCo2Cl6,-15.019289,-13275.662010125247,Stable,0.13490000000000002,False,Cl2Co1 Cl4Co1K2 RbCl
28,RbCsMn2Cl6,-18.152152,-15864.44026,Stable,1.2507000000000001,False,Cl2Mn1 RbCl CsCl
29,KCsPb2Cl6,-14.049395,-10799.97104999999,Stable,2.7857999999999996,False,Cl1K1 PbCl2 CsCl
30,RbPbI3,-22.49201,-19669.932400000012,Stable,1.9645000000000001,False,RbI PbI2
31,RbVCl3,-36.05358,-33682.66602000008,Stable,0.2304999999999997,False,Cl2V1 RbCl
32,CsSnCl3,-27.971402,-24537.619549999978,Stable,1.2923,False,CsCl SnCl2
33,KCoF3,-38.943082,-36405.242,Stable,0.0,False,Co1F2 F1K1
34,KCrBr3,-33.423268,-32026.828,Stable,0.0,False,Br1K1 Br2Cr1
35,KMnF3,-45.340086,-42456.166,Stable,1.4369,False,F1K1 F2Mn1
36,KCsCd2Br6,-10.193743999999999,-7860.658759999996,Stable,1.2368999999999999,False,Br1K1 CdBr2 CsBr
37,KRbMg2Br6,-12.267104999999999,-9408.784330000002,Stable,2.9229,False,Br1K1 MgBr2 RbBr
38,KZnF3,-32.53703,-29053.12240000002,Stable,3.6168,False,F1K1 ZnF2
39,CsBaBr3,-28.53519,-25812.841800000006,Stable,4.1829,False,Ba1Br2 CsBr
40,KRbCa2F6,-20.541845000000002,-15685.588400000002,Stable,6.352399999999999,False,F1K1 RbF CaF2
41,KRbCr2Cl6,-18.286326,-16311.879009999984,Stable,0.0,False,Cl1K1 Cl2Cr1 RbCl
42,NaRbCu2Cl6,-12.396861,-10840.934010000014,Stable,0.0,False,Cl1Na1 Cl2Cu1 RbCl
43,KCsNi2Cl6,-13.826461,-12025.156250000002,Stable,0.0,False,Cl2Ni1 Cl3K1Ni1 CsCl
44,RbCoBr3,-26.94769,-25342.966539999972,Stable,0.0,False,Br2Co1 RbBr
45,RbFeI3,-26.599756000000003,-24865.59049999999,Stable,0.08460000000000001,False,Fe RbI3
46,RbCuF3,-32.646318,-29907.361200000083,Stable,0.0,False,Cu1F2 RbF
47,CsCrI3,-30.119011999999998,-28362.129749999996,Stable,0.0,False,Cr CsI3
48,CsMnCl3,-36.305548,-34021.478500000005,Stable,1.2539000000000002,False,Cl2Mn1 CsCl
49,NaNiF3,-36.44581,-33794.10999999999,Stable,0.8309,False,F1Na1 F2Ni1
50,RbCsCd2Cl6,-11.571611,-8702.333519999998,Stable,1.8865,False,CdCl2 RbCl CsCl
51,RbCsCu2I6,-9.920778199999999,-8175.254324999997,Stable,0.0,False,Cu CsI3 RbI3
52,KRbCr2Br6,-16.690923,-15072.081270000002,Stable,0.0,False,Br1K1 Br2Cr1 RbBr
53,CsCrCl3,-36.51805,-34325.12050000001,Stable,0.0,False,Cl2Cr1 CsCl
54,RbMgI3,-20.766146,-18124.586640000005,Stable,1.9315999999999998,False,RbI MgI2
55,RbCoF3,-38.552738,-35564.54120000002,Stable,0.0,False,Co1F2 RbF
56,CsFeI3,-26.6791,-24922.217749999996,Stable,0.045500000000000096,False,Fe CsI3
57,RbCdCl3,-23.124064,-20251.144280000008,Stable,2.0769,False,CdCl2 RbCl
58,KCsCo2Cl6,-14.985825,-13245.840250000014,Stable,0.16280000000000006,False,Cl2Co1 Cl4Co1K2 CsCl
59,KRbCa2Cl6,-15.767126,-12095.61971,Stable,5.2864,False,Cl1K1 CaCl2 RbCl
60,RbCsMg2Br6,-12.265172,-9185.317229999999,Stable,2.5286,False,MgBr2 CsBr RbBr
61,KMgF3,-39.121296,-34819.00020000006,Stable,6.7942,False,F1K1 MgF2
62,KRbNi2Br6,-12.574328,-11122.226270000001,Stable,0.2982999999999999,False,Br1K1 Br2Ni1 RbBr
63,KCsCo2F6,-19.229896,-16479.239589999976,Stable,0.16310000000000002,False,Co1F2 F1K1 CsF
64,RbCsMn2Br6,-16.584231,-14641.523095000008,Stable,0.9435000000000002,False,Mn Br2Mn1 CsBr3 RbBr
65,CsCaBr3,-28.296609999999998,-24804.57719999999,Stable,4.3301,False,CsBr CaBr2
66,RbCsCd2Br6,-10.188551,-7633.06403,Stable,1.1109,False,CdBr2 CsBr RbBr
67,CsCuI3,-19.8044294,-18047.54715,Stable,0.1046999999999998,False,Cu CsI3
68,KCaCl3,-31.416296,-27970.556700000012,Stable,5.0388,False,Cl1K1 CaCl2
69,RbCsNi2F6,-17.74696,-14725.585190000009,Stable,0.4113,False,F2Ni1 RbF CsF
70,CsCuF3,-32.167176,-29452.94318,Stable,0.0,False,Cu1F2 CsF
71,CsSrI3,-24.666172,-22421.74894,Stable,3.9546,False,I2Sr1 CsI
72,NaRbCo2F6,-19.2857,-16488.521600000026,Stable,0.1615000000000002,False,Co1F2 F1Na1 RbF
73,RbCrBr3,-33.327902,-31486.65854,Stable,0.0,False,Br2Cr1 RbBr
74,CsNiF3,-35.132932,-32123.91918,Stable,0.45629999999999993,False,F2Ni1 CsF
75,CsCdCl3,-23.19789,-20332.25476,Stable,1.7393,False,CdCl2 CsCl
76,RbCsCu2F6,-16.182313,-13455.718189999952,Stable,0.0,False,Cu1F2 RbF CsF
77,CsPbCl3,-28.205272,-24733.72329999995,Stable,2.5386,False,PbCl2 CsCl
78,KCsCd2Cl6,-11.580178,-8936.66751,Stable,2.0347999999999997,False,Cl1K1 CdCl2 CsCl
79,RbCsSr2Cl6,-15.618951000000001,-12575.47926,Stable,5.1164,False,Cl2Sr1 RbCl CsCl
80,CsCdBr3,-20.430436,-17875.816659999997,Stable,0.6788,False,CdBr2 CsBr
81,RbCoCl3,-29.996456000000002,-28038.76202,Stable,0.05820000000000025,False,Cl2Co1 RbCl
82,CsMnBr3,-33.171764,-31224.97165,Stable,0.9206000000000001,False,Mn CsBr3
83,RbCsCo2F6,-19.142316,-16166.481190000035,Stable,0.21679999999999988,False,Co1F2 RbF CsF
84,KNiBr3,-25.085766,-23856.066,Stable,0.0,False,Br1K1 Br2Ni1
85,KRbPb2Br6,-12.680116,-9752.78637,Stable,2.3707,False,Br1K1 PbBr2 RbBr
86,KPbBr3,-25.381922,-22676.994099999953,Stable,2.4212,False,Br1K1 PbBr2
87,RbCsV2Cl6,-18.001457,-15634.185260000002,Stable,0.0823999999999998,False,Cl2V1 RbCl CsCl
88,KCsCu2Cl6,-12.557887,-10992.44225,Stable,0.0,False,Cl1K1 Cl2Cu1 CsCl
89,CsVCl3,-35.970346,-33606.716500000024,Stable,0.09350000000000014,False,Cl2V1 CsCl
90,RbCuCl3,-25.067106000000003,-23272.252020000033,Stable,0.0,False,Cl2Cu1 RbCl
91,CsCoBr3,-26.970858,-25024.06565000002,Stable,0.0,False,Co CsBr3
92,RbSrF3,-39.950854,-35779.87719999994,Stable,5.6981,False,F2Sr1 RbF
93,CsMgCl3,-28.002166,-24525.24990000001,Stable,3.9312,False,CsCl MgCl2
94,RbCsFe2I6,-13.378651,-11633.127125000003,Stable,0.02289999999999992,False,Fe CsI3 RbI3
95,RbCsCu2Br6,-11.273824000000001,-9561.696094999928,Stable,0.0,False,Cu Br2Cu1 CsBr3 RbBr
96,RbCoI3,-23.958312,-22224.14649999999,Stable,0.0,False,Co RbI3
97,KCsPb2Br6,-12.709976000000001,-9783.514000000005,Stable,2.3068,False,Br1K1 PbBr2 CsBr
98,CsMnI3,-29.843662000000002,-28086.77975,Stable,0.1614,False,Mn CsI3
99,KRbMn2F6,-22.612573,-19503.474600000052,Stable,1.5177,False,F1K1 F2Mn1 RbF
100,CsSrCl3,-31.260178000000003,-28220.348500000007,Stable,5.0814,False,Cl2Sr1 CsCl
101,KCsMn2Br6,-16.577804,-14857.497825,Stable,1.0339,False,Mn Br1K1 Br2Mn1 CsBr3
102,CsPbI3,-22.667182,-19840.41806,Stable,1.8453,False,CsI PbI2
103,RbCsBa2Br6,-14.237055000000002,-11513.839170000005,Stable,4.1155,False,Ba1Br2 CsBr RbBr
104,RbSnBr3,-25.236448,-22117.575880000008,Stable,1.2325000000000002,False,SnBr2 RbBr
105,KCsCr2Cl6,-18.2725,-16301.695250000004,Stable,0.0,False,Cl1K1 Cl2Cr1 CsCl
106,RbCaCl3,-31.446576,-27549.30271999998,Stable,5.1056,False,CaCl2 RbCl
107,RbCsFe2Br6,-14.948027,-13154.77909500001,Stable,0.05729999999999991,False,Fe Br2Fe1 CsBr3 RbBr
108,RbCsCa2Cl6,-15.766645,-11873.013960000004,Stable,5.2721,False,CaCl2 RbCl CsCl
109,KRbMn2Br6,-16.578491,-14862.269270000008,Stable,1.141,False,Br1K1 Br2Mn1 RbBr
110,KRbCo2Br6,-13.496286000000001,-12113.964269999997,Stable,0.0,False,Br1K1 Br2Co1 RbBr
111,CsNiBr3,-25.02431,-23077.517649999954,Stable,0.2532000000000001,False,Ni CsBr3
112,CsCrBr3,-33.456504,-31509.71165,Stable,0.0,False,Cr CsBr3
113,CsCoF3,-37.956368,-34992.895180000014,Stable,0.27539999999999987,False,Co1F2 CsF
114,CsPbF3,-36.003068,-31546.02097999967,Stable,3.1637,False,PbF2 CsF
115,KMnBr3,-33.226814000000005,-31732.994000000006,Stable,1.1761,False,Br1K1 Br2Mn1
116,RbMgCl3,-28.02743,-24543.229419999996,Stable,4.0929,False,RbCl MgCl2
117,RbCuBr3,-22.4761,-20998.636539999996,Stable,0.0,False,Br2Cu1 RbBr
118,RbCsCa2Br6,-14.11288,-10619.979569999994,Stable,4.3530999999999995,False,CsBr CaBr2 RbBr
119,RbPbBr3,-25.403523999999997,-22253.792640000014,Stable,2.3097,False,PbBr2 RbBr
120,CsMgF3,-37.842956,-33115.027380000065,Stable,6.5039,False,CsF MgF2
121,CsCuCl3,-24.974242,-23186.672500000008,Stable,0.0,False,Cl2Cu1 CsCl
122,CsFeBr3,-29.856378,-27909.585650000037,Stable,0.0,False,Fe CsBr3
123,RbMgF3,-38.618598,-33865.94539999993,Stable,6.838500000000001,False,RbF MgF2
124,RbMnI3,-29.704376000000003,-27970.210499999997,Stable,0.7909999999999999,False,Mn RbI3
125,RbCsSn2Br6,-12.634998,-9516.993510000024,Stable,1.2219999999999998,False,SnBr2 CsBr RbBr
126,KMnCl3,-36.397328,-34518.727999999996,Stable,1.2949,False,Cl3K1Mn1
127,KNiCl3,-27.92813,-26341.029999999988,Stable,0.0,False,Cl3K1Ni1
128,CsBaI3,-25.25255,-22938.226939999997,Stable,3.8598,False,Ba1I2 CsI
129,KMgBr3,-24.607666000000002,-21971.747059999998,Stable,3.187,False,Br1K1 MgBr2
130,RbCsMg2I6,-10.392798,-7748.895469999996,Stable,1.5493,False,RbI CsI MgI2
131,NaCuF3,-32.89143,-30534.510000000006,Stable,0.0,False,Cu1F2 F1Na1
132,RbNiBr3,-25.093954,-23419.45054,Stable,0.22470000000000012,False,Br2Ni1 RbBr
133,RbCsTi2Br6,-15.924118000000002,-13981.206761666625,Stable,0.0,False,Ti Br3Ti1 CsBr3 RbBr
134,RbCsPb2Cl6,-14.061049,-10585.858059999999,Stable,2.7211000000000003,False,RbCl PbCl2 CsCl
135,CsCaF3,-40.94014,-35883.42897999989,Stable,6.8727,False,CsF CaF2
136,RbCaF3,-41.01587,-35934.435000000034,Stable,6.540100000000001,False,RbF CaF2
137,RbMnF3,-45.117038,-41782.76119999999,Stable,1.6926999999999999,False,F2Mn1 RbF
138,KCsCd2F6,-15.457681,-11906.64739,Stable,3.196,False,F1K1 CsF CdF2
139,RbCsCu2Cl6,-12.546083,-10754.871259999993,Stable,0.0,False,Cl2Cu1 RbCl CsCl
140,KCsCu2Br6,-11.258026,-9768.299825000007,Stable,0.0,False,Cu Br1K1 Br2Cu1 CsBr3
141,CsBaCl3,-31.556891999999998,-28476.8025,Stable,4.824199999999999,False,Ba1Cl2 CsCl
142,CsSnBr3,-25.286448,-22169.311139999616,Stable,0.7084999999999999,False,SnBr2 CsBr
143,KCuBr3,-22.466314,-21433.65400000001,Stable,0.0,False,Br1K1 Br2Cu1
144,KRbFe2Br6,-14.936168,-13518.86626999999,Stable,0.0,False,Br1K1 Br2Fe1 RbBr
145,KCsCa2Cl6,-15.765888,-12098.02395,Stable,5.2355,False,Cl1K1 CaCl2 CsCl
146,KRbV2Cl6,-18.079675,-15934.528009999998,Stable,0.3136000000000001,False,Cl1K1 Cl2V1 RbCl
147,KCsCr2Br6,-16.698605,-15026.988825000004,Stable,0.0,False,Cr Br1K1 Br2Cr1 CsBr3
148,KCsSn2Br6,-12.615165000000001,-9719.562240000228,Stable,1.2762000000000002,False,Br1K1 SnBr2 CsBr
149,KRbNi2F6,-18.034875,-15226.316599999996,Stable,0.46099999999999985,False,F1K1 F2Ni1 RbF
150,RbNiCl3,-27.790338000000002,-25767.544019999998,Stable,0.0,False,Cl2Ni1 RbCl
151,RbSrBr3,-27.852140000000002,-25188.83654,Stable,4.0682,False,Br2Sr1 RbBr
152,KRbZn2F6,-16.174247,-12465.160999999993,Stable,3.6116,False,F1K1 RbF ZnF2
153,KCoBr3,-27.14878,-25988.86,Stable,0.0,False,Br1K1 Br2Co1
154,KVCl3,-36.286682,-34367.301999999996,Stable,0.4062000000000001,False,Cl1K1 Cl2V1
155,KCsCa2Br6,-14.121748,-10851.249300000003,Stable,4.417199999999999,False,Br1K1 CsBr CaBr2
156,KCsNi2F6,-17.847327999999997,-15051.131589999997,Stable,0.2916000000000001,False,F1K1 F2Ni1 CsF
157,KMgCl3,-28.121924,-25089.257400000006,Stable,4.536300000000001,False,Cl1K1 MgCl2
158,RbCsPb2F6,-17.986304,-13516.894989999999,Stable,3.4956000000000005,False,RbF PbF2 CsF
159,RbCrCl3,-36.551562000000004,-34351.34802000001,Stable,0.0,False,Cl2Cr1 RbCl
160,KCsSn2I6,-11.173463,-8621.460970000018,Stable,0.9655,False,I1K1 CsI SnI2
161,KRbNi2Cl6,-13.970605,-12165.658009999994,Stable,0.0,False,Cl2Ni1 Cl3K1Ni1 RbCl
162,KFeBr3,-29.909634,-28714.734,Stable,0.0,False,Br1K1 Br2Fe1
163,CsPbBr3,-25.55454,-22406.543899999993,Stable,2.0999000000000003,False,PbBr2 CsBr
164,RbCsPb2Br6,-12.728336,-9579.472270000004,Stable,2.2211999999999996,False,PbBr2 CsBr RbBr
165,RbCdBr3,-20.336646,-17780.2914,Stable,1.3213,False,CdBr2 RbBr
166,RbMgBr3,-24.470447999999998,-21389.72559999998,Stable,2.9212000000000002,False,MgBr2 RbBr
167,RbZnF3,-32.166252,-28231.987599999982,Stable,3.6072,False,RbF ZnF2
168,RbMnBr3,-33.08889,-31150.266539999993,Stable,0.9025000000000001,False,Br2Mn1 RbBr
169,KRbCd2Cl6,-11.584176,-8937.023270000002,Stable,2.1914,False,Cl1K1 CdCl2 RbCl
170,RbSnI3,-22.353424,-19584.86677999986,Stable,1.0448999999999997,False,RbI SnI2
171,KRbCo2F6,-19.370852,-16607.833600000034,Stable,0.0,False,Co1F2 F1K1 RbF
172,RbNiF3,-35.85564,-32821.9032,Stable,0.5148000000000001,False,F2Ni1 RbF
173,CsMgBr3,-24.5885,-21509.512859999988,Stable,2.4836,False,MgBr2 CsBr
174,RbCsSr2F6,-20.012782,-15854.167190000013,Stable,5.986800000000001,False,F2Sr1 RbF CsF
175,RbCsSn2Cl6,-13.956174999999998,-10518.75030999998,Stable,1.747,False,RbCl CsCl SnCl2
176,KCsSr2Br6,-14.028509,-11588.474899999997,Stable,4.2453,False,Br1K1 Br2Sr1 CsBr
177,KPbCl3,-28.068578000000002,-25041.278799999945,Stable,2.9715000000000003,False,Cl1K1 PbCl2
178,RbCsMn2I6,-14.889266000000001,-13143.74212500003,Stable,0.8363,False,Mn CsI3 RbI3
179,KRbCd2F6,-15.497243000000001,-11933.847400000013,Stable,3.1905,False,F1K1 RbF CdF2
180,KCdF3,-31.087200000000003,-27748.982800000005,Stable,3.1997,False,F1K1 CdF2
181,RbPbF3,-35.996089999999995,-31514.318999999992,Stable,3.5803000000000003,False,RbF PbF2
182,RbSnCl3,-27.905698,-24464.631069999963,Stable,2.0445,False,RbCl SnCl2
183,RbSrCl3,-31.063776,-28016.66202,Stable,4.867,False,Cl2Sr1 RbCl
184,RbCsCa2F6,-20.4845,-15415.426990000027,Stable,6.552199999999999,False,RbF CsF CaF2
185,CsMgI3,-20.842942,-18196.6963,Stable,1.2100000000000002,False,CsI MgI2
186,CsBaF3,-39.775459999999995,-35696.40717999997,Stable,5.5883,False,Ba1F2 CsF
187,KCsCo2Br6,-13.477686,-11924.329825000003,Stable,0.0,False,Co Br1K1 Br2Co1 CsBr3
188,RbCsCr2Br6,-16.711703,-14817.685095,Stable,0.0,False,Cr Br2Cr1 CsBr3 RbBr
189,NaCoF3,-38.9836,-36377.44,Stable,0.19730000000000025,False,Co1F2 F1Na1
190,KCdCl3,-23.17591,-20754.524260000002,Stable,2.2016,False,Cl1K1 CdCl2
191,CsCaI3,-24.68016,-21597.055680000012,Stable,3.9318,False,CsI CaI2
192,CsCdF3,-30.841860000000004,-27078.009980000003,Stable,3.2561,False,CsF CdF2
193,CsCuBr3,-22.508332,-20561.53964999999,Stable,0.0,False,Cu CsBr3
194,RbCsPb2I6,-11.253748,-8429.327229999994,Stable,1.8622999999999998,False,RbI CsI PbI2
195,RbPbCl3,-28.108758,-24629.92482000005,Stable,2.8165,False,RbCl PbCl2
196,RbCaBr3,-28.094624,-24600.855940000012,Stable,4.2123,False,CaBr2 RbBr
197,RbMnCl3,-36.267472,-33976.118019999994,Stable,1.0141,False,Cl2Mn1 RbCl
198,CsSrF3,-40.030426,-35884.17317999993,Stable,6.1353,False,F2Sr1 CsF
199,CsSnI3,-22.41297,-19639.72644000001,Stable,0.6917999999999997,False,CsI SnI2
200,CsCdI3,-17.480856199999998,-15270.177020000001,Stable,0.9974,False,CsI CdI2
201,CsCaCl3,-31.611455999999997,-27721.467200000006,Stable,5.2872,False,CaCl2 CsCl
202,RbCdF3,-30.919452,-27130.878,Stable,3.1638,False,RbF CdF2
203,KCdBr3,-20.413364,-18301.812859999995,Stable,2.1311,False,Br1K1 CdBr2
204,NaKCo2Cl6,-14.947453,-13442.752999999997,Stable,0.09370000000000012,False,Cl1Na1 Cl2Co1 Cl4Co1K2
205,NaKCu2Cl6,-12.446214000000001,-11116.054,Stable,0.0,False,Cl1K1 Cl1Na1 Cl2Cu1
206,KCsMg2Br6,-12.26383,-9406.376960000003,Stable,2.6922,False,Br1K1 MgBr2 CsBr
207,RbBaBr3,-28.280268,-25556.184540000006,Stable,3.9695,False,Ba1Br2 RbBr
